Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,media,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,treatment
SRR6075747,OTHER,68,2816756549,PRJNA392312,SAMN07701810,1127042695,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX3216133,GSM2793656,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2019-10-24T00:00:00Z,GSM2793656,Yeast,SRP110707,BY4741,No
SRR6075748,OTHER,67,2664134652,PRJNA392312,SAMN07701815,1060196848,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX3216134,GSM2793657,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2019-10-24T00:00:00Z,GSM2793657,Yeast,SRP110707,BY4741,No
SRR6075749,OTHER,68,2800847390,PRJNA392312,SAMN07701814,1130225290,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX3216135,GSM2793658,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2019-10-24T00:00:00Z,GSM2793658,Yeast,SRP110707,BY4741,No
SRR6075750,OTHER,68,2654395908,PRJNA392312,SAMN07701813,1054938246,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX3216136,GSM2793659,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2019-10-24T00:00:00Z,GSM2793659,Yeast,SRP110707,BY4741,No
SRR6075751,OTHER,66,2569676410,PRJNA392312,SAMN07701812,1030353300,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX3216137,GSM2793660,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2019-10-24T00:00:00Z,GSM2793660,Yeast,SRP110707,BY4741,No
SRR6075752,OTHER,68,2599697573,PRJNA392312,SAMN07701811,1037682968,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX3216138,GSM2793661,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2019-10-24T00:00:00Z,GSM2793661,Yeast,SRP110707,BY4741,No
SRR5766382,OTHER,67,1092674263,PRJNA392312,SAMN07291124,415716729,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965777,GSM2689477,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689477,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766383,OTHER,66,1010770684,PRJNA392312,SAMN07291123,391363112,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965778,GSM2689478,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689478,Yeast,SRP110707,BY4741 with trm4D::kanMX,Cycloheximide
SRR5766384,OTHER,66,967700428,PRJNA392312,SAMN07291125,378571699,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX2965779,GSM2689479,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689479,Yeast,SRP110707,BY4741 with trm7D::kanMX,Cycloheximide
SRR5766385,OTHER,67,1006673910,PRJNA392312,SAMN07291242,386653145,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965780,GSM2689480,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689480,Yeast,SRP110707,BY4741 with trm732D::kanMX,Cycloheximide
SRR5766386,OTHER,67,948888367,PRJNA392312,SAMN07291084,363865795,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965781,GSM2689481,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689481,Yeast,SRP110707,BY4741 with rtt10D::kanMX,Cycloheximide
SRR5766387,OTHER,66,812704664,PRJNA392312,SAMN07291083,311891035,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965782,GSM2689482,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689482,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766388,OTHER,67,787513994,PRJNA392312,SAMN07291243,307217975,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX2965783,GSM2689483,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689483,Yeast,SRP110707,BY4741 with elp1D::kanMX,Cycloheximide
SRR5766389,OTHER,66,811793656,PRJNA392312,SAMN07291241,311658142,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965784,GSM2689484,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689484,Yeast,SRP110707,BY4741 with elp3D::kanMX,Cycloheximide
SRR5766390,OTHER,66,879443011,PRJNA392312,SAMN07291128,345828764,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965785,GSM2689485,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689485,Yeast,SRP110707,BY4741 with kti11D::kanMX,Cycloheximide
SRR5766391,OTHER,66,835325949,PRJNA392312,SAMN07291136,325131187,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965786,GSM2689486,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689486,Yeast,SRP110707,BY4741 with pus1D::kanMX,Cycloheximide
SRR5766392,OTHER,66,836287648,PRJNA392312,SAMN07291139,323668912,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX2965787,GSM2689487,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689487,Yeast,SRP110707,BY4741 with pus7D::kanMX,Cycloheximide
SRR5766393,OTHER,67,804461379,PRJNA392312,SAMN07291138,319075542,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965788,GSM2689488,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689488,Yeast,SRP110707,BY4741,Cycloheximide
