GSM2249616	DualLigation_RibosomeProfiling_rep1
GSM2249617	DualLigation_RibosomeProfiling_rep2
GSM2249618	DualLigation_RibosomeProfiling_rep3
GSM2249619	4N_RibosomeProfiling_rep1
GSM2249620	4N_RibosomeProfiling_rep2
GSM2249621	Nonrandom_RibosomeProfiling_rep1_low
GSM2249622	Nonrandom_RibosomeProfiling_rep1
GSM2249623	Nonrandom_RibosomeProfiling_rep2_low
GSM2249624	Nonrandom_RibosomeProfiling_rep2
GSM2249625	4+3N_RibosomeProfiling_rep1_low
GSM2249626	4+3N_RibosomeProfiling_rep1
GSM2249627	4+3N_RibosomeProfiling_rep2
GSM2249628	4+3N_RibosomeProfiling+3_rep2_low
GSM2249629	Nonrandom_mRNA-seq_rep1
GSM2249630	4N_mRNA-seq_rep1
GSM2249631	4+3N_mRNA-seq_rep1
GSM2249632	Nonrandom_mRNA-seq_rep2
GSM2249633	4N_mRNA-seq_rep2
GSM2249634	4+3N_mRNA-seq_rep2
